review,symbol_puntuation_removal,case_folding,tokenized,normalized,stopwords_removed,stemmed,final_text
"kamar sisa , AC panas. pelayanan minimal..",kamar sisa AC panas pelayanan minimal,kamar sisa ac panas pelayanan minimal,"['kamar', 'sisa', 'ac', 'panas', 'pelayanan', 'minimal']","['kamar', 'sisa', 'ac', 'panas', 'pelayanan', 'minimal']","['kamar', 'sisa', 'ac', 'panas', 'pelayanan', 'minimal']","['kamar', 'sisa', 'ac', 'panas', 'layan', 'minimal']",kamar sisa ac panas layan minimal
"sprei kotor bernoda sepertinya tidak diganti,  di laci bnyak puntung rokok,  tidak ada sajadah",sprei kotor bernoda sepertinya tidak diganti di laci bnyak puntung rokok tidak ada sajadah,sprei kotor bernoda sepertinya tidak diganti di laci bnyak puntung rokok tidak ada sajadah,"['sprei', 'kotor', 'bernoda', 'sepertinya', 'tidak', 'diganti', 'di', 'laci', 'bnyak', 'puntung', 'rokok', 'tidak', 'ada', 'sajadah']","['sprei', 'kotor', 'bernoda', 'sepertinya', 'tidak', 'diganti', 'di', 'laci', 'bnyak', 'puntung', 'rokok', 'tidak', 'ada', 'sajadah']","['sprei', 'kotor', 'bernoda', 'diganti', 'laci', 'bnyak', 'puntung', 'rokok', 'sajadah']","['sprei', 'kotor', 'noda', 'ganti', 'laci', 'bnyak', 'puntung', 'rokok', 'sajadah']",sprei kotor noda ganti laci bnyak puntung rokok sajadah
"Lantai kurang bersih, yang lain cukup",Lantai kurang bersih yang lain cukup,lantai kurang bersih yang lain cukup,"['lantai', 'kurang', 'bersih', 'yang', 'lain', 'cukup']","['lantai', 'kurang', 'bersih', 'yang', 'lain', 'cukup']","['lantai', 'bersih']","['lantai', 'bersih']",lantai bersih
lumayan bagus. Tapi pas kita lagi buru2 mau ke bandara pagi2 eh ternyata pagarnya terkunci dan pemiliknya ga ada di di sekitaran lorong. jadilah kita teriak2 ngetokin kamar 1-1 buat nanyain pemiliknya dimana. fiuh.,lumayan bagus Tapi pas kita lagi buru mau ke bandara pagi eh ternyata pagarnya terkunci dan pemiliknya ga ada di di sekitaran lorong jadilah kita teriak ngetokin kamar buat nanyain pemiliknya dimana fiuh,lumayan bagus tapi pas kita lagi buru mau ke bandara pagi eh ternyata pagarnya terkunci dan pemiliknya ga ada di di sekitaran lorong jadilah kita teriak ngetokin kamar buat nanyain pemiliknya dimana fiuh,"['lumayan', 'bagus', 'tapi', 'pas', 'kita', 'lagi', 'buru', 'mau', 'ke', 'bandara', 'pagi', 'eh', 'ternyata', 'pagarnya', 'terkunci', 'dan', 'pemiliknya', 'ga', 'ada', 'di', 'di', 'sekitaran', 'lorong', 'jadilah', 'kita', 'teriak', 'ngetokin', 'kamar', 'buat', 'nanyain', 'pemiliknya', 'dimana', 'fiuh']","['lumayan', 'bagus', 'tapi', 'pas', 'kita', 'lagi', 'buru', 'mau', 'ke', 'bandara', 'pagi', 'eh', 'ternyata', 'pagarnya', 'terkunci', 'dan', 'pemiliknya', 'tidak', 'ada', 'di', 'di', 'sekitaran', 'lorong', 'jadilah', 'kita', 'teriak', 'ngetokin', 'kamar', 'buat', 'nanyain', 'pemiliknya', 'dimana', 'fiuh']","['lumayan', 'bagus', 'pas', 'buru', 'bandara', 'pagi', 'eh', 'pagarnya', 'terkunci', 'pemiliknya', 'sekitaran', 'lorong', 'teriak', 'ngetokin', 'kamar', 'nanyain', 'pemiliknya', 'dimana', 'fiuh']","['lumayan', 'bagus', 'pas', 'buru', 'bandara', 'pagi', 'eh', 'pagar', 'kunci', 'milik', 'sekitar', 'lorong', 'teriak', 'ngetokin', 'kamar', 'nanyain', 'milik', 'mana', 'fiuh']",lumayan bagus pas buru bandara pagi eh pagar kunci milik sekitar lorong teriak ngetokin kamar nanyain milik mana fiuh
Nyaman & lumayan bersih. Menurut saya menu sarapan kurang bervariasi dan hot spot wifi perlu ditambah.,Nyaman lumayan bersih Menurut saya menu sarapan kurang bervariasi dan hot spot wifi perlu ditambah,nyaman lumayan bersih menurut saya menu sarapan kurang bervariasi dan hot spot wifi perlu ditambah,"['nyaman', 'lumayan', 'bersih', 'menurut', 'saya', 'menu', 'sarapan', 'kurang', 'bervariasi', 'dan', 'hot', 'spot', 'wifi', 'perlu', 'ditambah']","['nyaman', 'lumayan', 'bersih', 'menurut', 'saya', 'menu', 'sarapan', 'kurang', 'bervariasi', 'dan', 'hot', 'spot', 'wifi', 'perlu', 'ditambah']","['nyaman', 'lumayan', 'bersih', 'menu', 'sarapan', 'bervariasi', 'hot', 'spot', 'wifi', 'ditambah']","['nyaman', 'lumayan', 'bersih', 'menu', 'sarap', 'variasi', 'hot', 'spot', 'wifi', 'tambah']",nyaman lumayan bersih menu sarap variasi hot spot wifi tambah
"kamar sih standard lah ya dg harga segitu, sarapan juga bisa diterima, tp ga ada tissue, kamarnya bau rokok, gda shampoo. tp bagi yang cuma buat tidur malem aja, cukuplah ya",kamar sih standard lah ya dg harga segitu sarapan juga bisa diterima tp ga ada tissue kamarnya bau rokok gda shampoo tp bagi yang cuma buat tidur malem aja cukuplah ya,kamar sih standard lah ya dg harga segitu sarapan juga bisa diterima tp ga ada tissue kamarnya bau rokok gda shampoo tp bagi yang cuma buat tidur malem aja cukuplah ya,"['kamar', 'sih', 'standard', 'lah', 'ya', 'dg', 'harga', 'segitu', 'sarapan', 'juga', 'bisa', 'diterima', 'tp', 'ga', 'ada', 'tissue', 'kamarnya', 'bau', 'rokok', 'gda', 'shampoo', 'tp', 'bagi', 'yang', 'cuma', 'buat', 'tidur', 'malem', 'aja', 'cukuplah', 'ya']","['kamar', 'sih', 'standard', 'lah', 'ya', 'dengan', 'harga', 'segitu', 'sarapan', 'juga', 'bisa', 'diterima', 'tapi', 'tidak', 'ada', 'tissue', 'kamarnya', 'bau', 'rokok', 'gda', 'shampoo', 'tapi', 'bagi', 'yang', 'cuma', 'buat', 'tidur', 'malem', 'aja', 'cukuplah', 'ya']","['kamar', 'sih', 'standard', 'ya', 'harga', 'segitu', 'sarapan', 'diterima', 'tissue', 'kamarnya', 'bau', 'rokok', 'gda', 'shampoo', 'tidur', 'malem', 'ya']","['kamar', 'sih', 'standard', 'ya', 'harga', 'segitu', 'sarap', 'terima', 'tissue', 'kamar', 'bau', 'rokok', 'gda', 'shampoo', 'tidur', 'malem', 'ya']",kamar sih standard ya harga segitu sarap terima tissue kamar bau rokok gda shampoo tidur malem ya
"sedikit terganggu ketika di kamar karena tidak kedap suara, suara dari kamar lain bisa terdengar jelas . toilet kurang bersih, tisunya sedikit banget ",sedikit terganggu ketika di kamar karena tidak kedap suara suara dari kamar lain bisa terdengar jelas toilet kurang bersih tisunya sedikit banget,sedikit terganggu ketika di kamar karena tidak kedap suara suara dari kamar lain bisa terdengar jelas toilet kurang bersih tisunya sedikit banget,"['sedikit', 'terganggu', 'ketika', 'di', 'kamar', 'karena', 'tidak', 'kedap', 'suara', 'suara', 'dari', 'kamar', 'lain', 'bisa', 'terdengar', 'jelas', 'toilet', 'kurang', 'bersih', 'tisunya', 'sedikit', 'banget']","['sedikit', 'terganggu', 'ketika', 'di', 'kamar', 'karena', 'tidak', 'kedap', 'suara', 'suara', 'dari', 'kamar', 'lain', 'bisa', 'terdengar', 'jelas', 'toilet', 'kurang', 'bersih', 'tisunya', 'sedikit', 'banget']","['terganggu', 'kamar', 'kedap', 'suara', 'suara', 'kamar', 'terdengar', 'toilet', 'bersih', 'tisunya', 'banget']","['ganggu', 'kamar', 'kedap', 'suara', 'suara', 'kamar', 'dengar', 'toilet', 'bersih', 'tisu', 'banget']",ganggu kamar kedap suara suara kamar dengar toilet bersih tisu banget
ac bocor anduk sprey lusuh ,ac bocor anduk sprey lusuh,ac bocor anduk sprey lusuh,"['ac', 'bocor', 'anduk', 'sprey', 'lusuh']","['ac', 'bocor', 'anduk', 'sprey', 'lusuh']","['ac', 'bocor', 'anduk', 'sprey', 'lusuh']","['ac', 'bocor', 'anduk', 'sprey', 'lusuh']",ac bocor anduk sprey lusuh
"AC tidak dingin, nampak kotor, tidak direkomendasikan.",AC tidak dingin nampak kotor tidak direkomendasikan,ac tidak dingin nampak kotor tidak direkomendasikan,"['ac', 'tidak', 'dingin', 'nampak', 'kotor', 'tidak', 'direkomendasikan']","['ac', 'tidak', 'dingin', 'nampak', 'kotor', 'tidak', 'direkomendasikan']","['ac', 'dingin', 'nampak', 'kotor', 'direkomendasikan']","['ac', 'dingin', 'nampak', 'kotor', 'rekomendasi']",ac dingin nampak kotor rekomendasi
bagus: 1. lokasi startegis 2. suasana tenang kurang 1. sprei kotor 2. air kurang deras,bagus lokasi startegis suasana tenang kurang sprei kotor air kurang deras,bagus lokasi startegis suasana tenang kurang sprei kotor air kurang deras,"['bagus', 'lokasi', 'startegis', 'suasana', 'tenang', 'kurang', 'sprei', 'kotor', 'air', 'kurang', 'deras']","['bagus', 'lokasi', 'startegis', 'suasana', 'tenang', 'kurang', 'sprei', 'kotor', 'air', 'kurang', 'deras']","['bagus', 'lokasi', 'startegis', 'suasana', 'tenang', 'sprei', 'kotor', 'air', 'deras']","['bagus', 'lokasi', 'startegis', 'suasana', 'tenang', 'sprei', 'kotor', 'air', 'deras']",bagus lokasi startegis suasana tenang sprei kotor air deras
"kamar nyaman, cari makan mudah, tp ko sinyal di dalam kamar agak susah ",kamar nyaman cari makan mudah tp ko sinyal di dalam kamar agak susah,kamar nyaman cari makan mudah tp ko sinyal di dalam kamar agak susah,"['kamar', 'nyaman', 'cari', 'makan', 'mudah', 'tp', 'ko', 'sinyal', 'di', 'dalam', 'kamar', 'agak', 'susah']","['kamar', 'nyaman', 'cari', 'makan', 'mudah', 'tapi', 'ko', 'sinyal', 'di', 'dalam', 'kamar', 'agak', 'susah']","['kamar', 'nyaman', 'cari', 'makan', 'mudah', 'ko', 'sinyal', 'kamar', 'susah']","['kamar', 'nyaman', 'cari', 'makan', 'mudah', 'ko', 'sinyal', 'kamar', 'susah']",kamar nyaman cari makan mudah ko sinyal kamar susah
"waktu menginap tidak dapat snack dan air minum, wifi pun tidak free",waktu menginap tidak dapat snack dan air minum wifi pun tidak free,waktu menginap tidak dapat snack dan air minum wifi pun tidak free,"['waktu', 'menginap', 'tidak', 'dapat', 'snack', 'dan', 'air', 'minum', 'wifi', 'pun', 'tidak', 'free']","['waktu', 'menginap', 'tidak', 'dapat', 'snack', 'dan', 'air', 'minum', 'wifi', 'pun', 'tidak', 'free']","['menginap', 'snack', 'air', 'minum', 'wifi', 'free']","['inap', 'snack', 'air', 'minum', 'wifi', 'free']",inap snack air minum wifi free
"hotel lama cukup terawat, air panas oke, sayang wifi hanya menjangkau lobby",hotel lama cukup terawat air panas oke sayang wifi hanya menjangkau lobby,hotel lama cukup terawat air panas oke sayang wifi hanya menjangkau lobby,"['hotel', 'lama', 'cukup', 'terawat', 'air', 'panas', 'oke', 'sayang', 'wifi', 'hanya', 'menjangkau', 'lobby']","['hotel', 'lama', 'cukup', 'terawat', 'air', 'panas', 'oke', 'sayang', 'wifi', 'hanya', 'menjangkau', 'lobby']","['hotel', 'terawat', 'air', 'panas', 'oke', 'sayang', 'wifi', 'menjangkau', 'lobby']","['hotel', 'awat', 'air', 'panas', 'oke', 'sayang', 'wifi', 'jangkau', 'lobby']",hotel awat air panas oke sayang wifi jangkau lobby
"kamar nya bersih, tempat nya nyaman, toilet nya ya lumayan bersih, cuma kloset air nya rusak, hanya kendala di kloset dan air panas untuk di lantai 1. trims airy ",kamar nya bersih tempat nya nyaman toilet nya ya lumayan bersih cuma kloset air nya rusak hanya kendala di kloset dan air panas untuk di lantai trims airy,kamar nya bersih tempat nya nyaman toilet nya ya lumayan bersih cuma kloset air nya rusak hanya kendala di kloset dan air panas untuk di lantai trims airy,"['kamar', 'nya', 'bersih', 'tempat', 'nya', 'nyaman', 'toilet', 'nya', 'ya', 'lumayan', 'bersih', 'cuma', 'kloset', 'air', 'nya', 'rusak', 'hanya', 'kendala', 'di', 'kloset', 'dan', 'air', 'panas', 'untuk', 'di', 'lantai', 'trims', 'airy']","['kamar', 'nya', 'bersih', 'tempat', 'nya', 'nyaman', 'toilet', 'nya', 'ya', 'lumayan', 'bersih', 'cuma', 'kloset', 'air', 'nya', 'rusak', 'hanya', 'kendala', 'di', 'kloset', 'dan', 'air', 'panas', 'untuk', 'di', 'lantai', 'trims', 'airy']","['kamar', 'nya', 'bersih', 'nya', 'nyaman', 'toilet', 'nya', 'ya', 'lumayan', 'bersih', 'kloset', 'air', 'nya', 'rusak', 'kendala', 'kloset', 'air', 'panas', 'lantai', 'trims', 'airy']","['kamar', 'nya', 'bersih', 'nya', 'nyaman', 'toilet', 'nya', 'ya', 'lumayan', 'bersih', 'kloset', 'air', 'nya', 'rusak', 'kendala', 'kloset', 'air', 'panas', 'lantai', 'trims', 'airy']",kamar nya bersih nya nyaman toilet nya ya lumayan bersih kloset air nya rusak kendala kloset air panas lantai trims airy
"Dari segi kamar cukup baik bersih nyaman,  tetapi utk ac nya berisik dan yg utama utk kamar mandi airnya jadi banjir apa bila setelah mandi pembuangan nya tdk sempurna hampir masuk ke ruang kamar dan juga licin sehingga tdk nyaman sekali, utk makanan tdk enak, tdk bervariasi ",Dari segi kamar cukup baik bersih nyaman tetapi utk ac nya berisik dan yg utama utk kamar mandi airnya jadi banjir apa bila setelah mandi pembuangan nya tdk sempurna hampir masuk ke ruang kamar dan juga licin sehingga tdk nyaman sekali utk makanan tdk enak tdk bervariasi,dari segi kamar cukup baik bersih nyaman tetapi utk ac nya berisik dan yg utama utk kamar mandi airnya jadi banjir apa bila setelah mandi pembuangan nya tdk sempurna hampir masuk ke ruang kamar dan juga licin sehingga tdk nyaman sekali utk makanan tdk enak tdk bervariasi,"['dari', 'segi', 'kamar', 'cukup', 'baik', 'bersih', 'nyaman', 'tetapi', 'utk', 'ac', 'nya', 'berisik', 'dan', 'yg', 'utama', 'utk', 'kamar', 'mandi', 'airnya', 'jadi', 'banjir', 'apa', 'bila', 'setelah', 'mandi', 'pembuangan', 'nya', 'tdk', 'sempurna', 'hampir', 'masuk', 'ke', 'ruang', 'kamar', 'dan', 'juga', 'licin', 'sehingga', 'tdk', 'nyaman', 'sekali', 'utk', 'makanan', 'tdk', 'enak', 'tdk', 'bervariasi']","['dari', 'segi', 'kamar', 'cukup', 'baik', 'bersih', 'nyaman', 'tetapi', 'untuk', 'ac', 'nya', 'berisik', 'dan', 'yg', 'utama', 'untuk', 'kamar', 'mandi', 'airnya', 'jadi', 'banjir', 'apa', 'bila', 'setelah', 'mandi', 'pembuangan', 'nya', 'tidak', 'sempurna', 'hampir', 'masuk', 'ke', 'ruang', 'kamar', 'dan', 'juga', 'licin', 'sehingga', 'tidak', 'nyaman', 'sekali', 'untuk', 'makanan', 'tidak', 'enak', 'tidak', 'bervariasi']","['segi', 'kamar', 'bersih', 'nyaman', 'ac', 'nya', 'berisik', 'utama', 'kamar', 'mandi', 'airnya', 'banjir', 'mandi', 'pembuangan', 'nya', 'sempurna', 'masuk', 'ruang', 'kamar', 'licin', 'nyaman', 'makanan', 'enak', 'bervariasi']","['segi', 'kamar', 'bersih', 'nyaman', 'ac', 'nya', 'berisik', 'utama', 'kamar', 'mandi', 'air', 'banjir', 'mandi', 'buang', 'nya', 'sempurna', 'masuk', 'ruang', 'kamar', 'licin', 'nyaman', 'makan', 'enak', 'variasi']",segi kamar bersih nyaman ac nya berisik utama kamar mandi air banjir mandi buang nya sempurna masuk ruang kamar licin nyaman makan enak variasi
"Katanya snacknya lagi gangguan, jd ga dapat snack, tp yg lainnya bagus kok :)",Katanya snacknya lagi gangguan jd ga dapat snack tp yg lainnya bagus kok,katanya snacknya lagi gangguan jd ga dapat snack tp yg lainnya bagus kok,"['katanya', 'snacknya', 'lagi', 'gangguan', 'jd', 'ga', 'dapat', 'snack', 'tp', 'yg', 'lainnya', 'bagus', 'kok']","['katanya', 'snacknya', 'lagi', 'gangguan', 'jd', 'tidak', 'dapat', 'snack', 'tapi', 'yg', 'lainnya', 'bagus', 'kok']","['snacknya', 'gangguan', 'jd', 'snack', 'bagus']","['snacknya', 'ganggu', 'jd', 'snack', 'bagus']",snacknya ganggu jd snack bagus
"dinding kamar baru dicat, jadi aroma catnya sangat menyengat saat saat stay di sana, tdk ada air panas pdhl infonya di aplikasi ada",dinding kamar baru dicat jadi aroma catnya sangat menyengat saat saat stay di sana tdk ada air panas pdhl infonya di aplikasi ada,dinding kamar baru dicat jadi aroma catnya sangat menyengat saat saat stay di sana tdk ada air panas pdhl infonya di aplikasi ada,"['dinding', 'kamar', 'baru', 'dicat', 'jadi', 'aroma', 'catnya', 'sangat', 'menyengat', 'saat', 'saat', 'stay', 'di', 'sana', 'tdk', 'ada', 'air', 'panas', 'pdhl', 'infonya', 'di', 'aplikasi', 'ada']","['dinding', 'kamar', 'baru', 'dicat', 'jadi', 'aroma', 'catnya', 'sangat', 'menyengat', 'saat', 'saat', 'stay', 'di', 'sana', 'tidak', 'ada', 'air', 'panas', 'pdhl', 'infonya', 'di', 'aplikasi', 'ada']","['dinding', 'kamar', 'dicat', 'aroma', 'catnya', 'menyengat', 'stay', 'air', 'panas', 'pdhl', 'infonya', 'aplikasi']","['dinding', 'kamar', 'cat', 'aroma', 'cat', 'sengat', 'stay', 'air', 'panas', 'pdhl', 'info', 'aplikasi']",dinding kamar cat aroma cat sengat stay air panas pdhl info aplikasi
"aliran air shower kecil, tidak ada air panas, lantai berminyak, kamar mandi sempit,",aliran air shower kecil tidak ada air panas lantai berminyak kamar mandi sempit,aliran air shower kecil tidak ada air panas lantai berminyak kamar mandi sempit,"['aliran', 'air', 'shower', 'kecil', 'tidak', 'ada', 'air', 'panas', 'lantai', 'berminyak', 'kamar', 'mandi', 'sempit']","['aliran', 'air', 'shower', 'kecil', 'tidak', 'ada', 'air', 'panas', 'lantai', 'berminyak', 'kamar', 'mandi', 'sempit']","['aliran', 'air', 'shower', 'air', 'panas', 'lantai', 'berminyak', 'kamar', 'mandi', 'sempit']","['alir', 'air', 'shower', 'air', 'panas', 'lantai', 'minyak', 'kamar', 'mandi', 'sempit']",alir air shower air panas lantai minyak kamar mandi sempit
"Besar sih kamarnya,  bersih tapi kamar mandi nya bau banget..  ",Besar sih kamarnya bersih tapi kamar mandi nya bau banget,besar sih kamarnya bersih tapi kamar mandi nya bau banget,"['besar', 'sih', 'kamarnya', 'bersih', 'tapi', 'kamar', 'mandi', 'nya', 'bau', 'banget']","['besar', 'sih', 'kamarnya', 'bersih', 'tapi', 'kamar', 'mandi', 'nya', 'bau', 'banget']","['sih', 'kamarnya', 'bersih', 'kamar', 'mandi', 'nya', 'bau', 'banget']","['sih', 'kamar', 'bersih', 'kamar', 'mandi', 'nya', 'bau', 'banget']",sih kamar bersih kamar mandi nya bau banget
"Bed nya kotor, agak berisik karena kamar mandi dari kamar sebelah terdengar, bau tidak enak juga",Bed nya kotor agak berisik karena kamar mandi dari kamar sebelah terdengar bau tidak enak juga,bed nya kotor agak berisik karena kamar mandi dari kamar sebelah terdengar bau tidak enak juga,"['bed', 'nya', 'kotor', 'agak', 'berisik', 'karena', 'kamar', 'mandi', 'dari', 'kamar', 'sebelah', 'terdengar', 'bau', 'tidak', 'enak', 'juga']","['bed', 'nya', 'kotor', 'agak', 'berisik', 'karena', 'kamar', 'mandi', 'dari', 'kamar', 'sebelah', 'terdengar', 'bau', 'tidak', 'enak', 'juga']","['bed', 'nya', 'kotor', 'berisik', 'kamar', 'mandi', 'kamar', 'sebelah', 'terdengar', 'bau', 'enak']","['bed', 'nya', 'kotor', 'berisik', 'kamar', 'mandi', 'kamar', 'belah', 'dengar', 'bau', 'enak']",bed nya kotor berisik kamar mandi kamar belah dengar bau enak
"Ruangan bersih, cuman agak berbau seperti karbon. makanan enak dan pelayanan bagus",Ruangan bersih cuman agak berbau seperti karbon makanan enak dan pelayanan bagus,ruangan bersih cuman agak berbau seperti karbon makanan enak dan pelayanan bagus,"['ruangan', 'bersih', 'cuman', 'agak', 'berbau', 'seperti', 'karbon', 'makanan', 'enak', 'dan', 'pelayanan', 'bagus']","['ruangan', 'bersih', 'cuman', 'agak', 'berbau', 'seperti', 'karbon', 'makanan', 'enak', 'dan', 'pelayanan', 'bagus']","['ruangan', 'bersih', 'cuman', 'berbau', 'karbon', 'makanan', 'enak', 'pelayanan', 'bagus']","['ruang', 'bersih', 'cuman', 'bau', 'karbon', 'makan', 'enak', 'layan', 'bagus']",ruang bersih cuman bau karbon makan enak layan bagus
lumayan tapi bantal airy nya sedikit kotor,lumayan tapi bantal airy nya sedikit kotor,lumayan tapi bantal airy nya sedikit kotor,"['lumayan', 'tapi', 'bantal', 'airy', 'nya', 'sedikit', 'kotor']","['lumayan', 'tapi', 'bantal', 'airy', 'nya', 'sedikit', 'kotor']","['lumayan', 'bantal', 'airy', 'nya', 'kotor']","['lumayan', 'bantal', 'airy', 'nya', 'kotor']",lumayan bantal airy nya kotor
fasilitas tidak sesuaitidak ad air panas,fasilitas tidak sesuaitidak ad air panas,fasilitas tidak sesuaitidak ad air panas,"['fasilitas', 'tidak', 'sesuaitidak', 'ad', 'air', 'panas']","['fasilitas', 'tidak', 'sesuaitidak', 'ad', 'air', 'panas']","['fasilitas', 'sesuaitidak', 'ad', 'air', 'panas']","['fasilitas', 'sesuaitidak', 'ad', 'air', 'panas']",fasilitas sesuaitidak ad air panas
"lumayan memuaskan, ada sedikit bagian kamar yang rusak dan kotor. mungkin belum sempat diperbaiki",lumayan memuaskan ada sedikit bagian kamar yang rusak dan kotor mungkin belum sempat diperbaiki,lumayan memuaskan ada sedikit bagian kamar yang rusak dan kotor mungkin belum sempat diperbaiki,"['lumayan', 'memuaskan', 'ada', 'sedikit', 'bagian', 'kamar', 'yang', 'rusak', 'dan', 'kotor', 'mungkin', 'belum', 'sempat', 'diperbaiki']","['lumayan', 'memuaskan', 'ada', 'sedikit', 'bagian', 'kamar', 'yang', 'rusak', 'dan', 'kotor', 'mungkin', 'belum', 'sempat', 'diperbaiki']","['lumayan', 'memuaskan', 'kamar', 'rusak', 'kotor', 'diperbaiki']","['lumayan', 'muas', 'kamar', 'rusak', 'kotor', 'baik']",lumayan muas kamar rusak kotor baik
"Saya sudah 3x menginap di sini. Tempatnya sangat worth it dengan harganya. Kamar bersih, kamar mandi juga bersih hanya saja selalu bermasalah dengan air panasnya. Overall sangat recommended",Saya sudah x menginap di sini Tempatnya sangat worth it dengan harganya Kamar bersih kamar mandi juga bersih hanya saja selalu bermasalah dengan air panasnya Overall sangat recommended,saya sudah x menginap di sini tempatnya sangat worth it dengan harganya kamar bersih kamar mandi juga bersih hanya saja selalu bermasalah dengan air panasnya overall sangat recommended,"['saya', 'sudah', 'x', 'menginap', 'di', 'sini', 'tempatnya', 'sangat', 'worth', 'it', 'dengan', 'harganya', 'kamar', 'bersih', 'kamar', 'mandi', 'juga', 'bersih', 'hanya', 'saja', 'selalu', 'bermasalah', 'dengan', 'air', 'panasnya', 'overall', 'sangat', 'recommended']","['saya', 'sudah', 'x', 'menginap', 'di', 'sini', 'tempatnya', 'sangat', 'worth', 'it', 'dengan', 'harganya', 'kamar', 'bersih', 'kamar', 'mandi', 'juga', 'bersih', 'hanya', 'saja', 'selalu', 'bermasalah', 'dengan', 'air', 'panasnya', 'overall', 'sangat', 'recommended']","['x', 'menginap', 'tempatnya', 'worth', 'it', 'harganya', 'kamar', 'bersih', 'kamar', 'mandi', 'bersih', 'bermasalah', 'air', 'panasnya', 'overall', 'recommended']","['x', 'inap', 'tempat', 'worth', 'it', 'harga', 'kamar', 'bersih', 'kamar', 'mandi', 'bersih', 'masalah', 'air', 'panas', 'overall', 'recommended']",x inap tempat worth it harga kamar bersih kamar mandi bersih masalah air panas overall recommended
"sya nginap brsama suami 2mlm,  tpi dikasih twin bed. minta ganti gakbisa ktnya tggu bsk,  keesekokan harinya msh jg gakbisa.  shower airpanas tdk panas sama sekali. breakfast lumayanlah.  pelayanan kurang baik,  saat mau keluar siang mnt dibereskan room nya tpi stlh kembali lgi (stlh 2jam an diluar)  room msh juga blum dirapihkan. ",sya nginap brsama suami mlm tpi dikasih twin bed minta ganti gakbisa ktnya tggu bsk keesekokan harinya msh jg gakbisa shower airpanas tdk panas sama sekali breakfast lumayanlah pelayanan kurang baik saat mau keluar siang mnt dibereskan room nya tpi stlh kembali lgi stlh jam an diluar room msh juga blum dirapihkan,sya nginap brsama suami mlm tpi dikasih twin bed minta ganti gakbisa ktnya tggu bsk keesekokan harinya msh jg gakbisa shower airpanas tdk panas sama sekali breakfast lumayanlah pelayanan kurang baik saat mau keluar siang mnt dibereskan room nya tpi stlh kembali lgi stlh jam an diluar room msh juga blum dirapihkan,"['sya', 'nginap', 'brsama', 'suami', 'mlm', 'tpi', 'dikasih', 'twin', 'bed', 'minta', 'ganti', 'gakbisa', 'ktnya', 'tggu', 'bsk', 'keesekokan', 'harinya', 'msh', 'jg', 'gakbisa', 'shower', 'airpanas', 'tdk', 'panas', 'sama', 'sekali', 'breakfast', 'lumayanlah', 'pelayanan', 'kurang', 'baik', 'saat', 'mau', 'keluar', 'siang', 'mnt', 'dibereskan', 'room', 'nya', 'tpi', 'stlh', 'kembali', 'lgi', 'stlh', 'jam', 'an', 'diluar', 'room', 'msh', 'juga', 'blum', 'dirapihkan']","['sya', 'nginap', 'brsama', 'suami', 'mlm', 'tpi', 'dikasih', 'twin', 'bed', 'minta', 'ganti', 'gakbisa', 'ktnya', 'tggu', 'bsk', 'keesekokan', 'harinya', 'msh', 'juga', 'gakbisa', 'shower', 'airpanas', 'tidak', 'panas', 'sama', 'sekali', 'breakfast', 'lumayanlah', 'pelayanan', 'kurang', 'baik', 'saat', 'mau', 'keluar', 'siang', 'mnt', 'dibereskan', 'room', 'nya', 'tpi', 'stlh', 'kembali', 'lgi', 'stlh', 'jam', 'an', 'diluar', 'room', 'msh', 'juga', 'blum', 'dirapihkan']","['sya', 'nginap', 'brsama', 'suami', 'mlm', 'tpi', 'dikasih', 'twin', 'bed', 'ganti', 'gakbisa', 'ktnya', 'tggu', 'bsk', 'keesekokan', 'harinya', 'msh', 'gakbisa', 'shower', 'airpanas', 'panas', 'breakfast', 'lumayanlah', 'pelayanan', 'siang', 'mnt', 'dibereskan', 'room', 'nya', 'tpi', 'stlh', 'lgi', 'stlh', 'jam', 'an', 'diluar', 'room', 'msh', 'blum', 'dirapihkan']","['sya', 'nginap', 'brsama', 'suami', 'mlm', 'tpi', 'kasih', 'twin', 'bed', 'ganti', 'gakbisa', 'ktnya', 'tggu', 'bsk', 'keesekokan', 'hari', 'msh', 'gakbisa', 'shower', 'airpanas', 'panas', 'breakfast', 'lumayan', 'layan', 'siang', 'mnt', 'beres', 'room', 'nya', 'tpi', 'stlh', 'lgi', 'stlh', 'jam', 'an', 'luar', 'room', 'msh', 'blum', 'dirapihkan']",sya nginap brsama suami mlm tpi kasih twin bed ganti gakbisa ktnya tggu bsk keesekokan hari msh gakbisa shower airpanas panas breakfast lumayan layan siang mnt beres room nya tpi stlh lgi stlh jam an luar room msh blum dirapihkan
